id,created_at,expiry_date,user_uid,channel_id,timestamp,event_id
6126,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01LR5KNQ5S,D03TJH1AAV6,1690984636.810639,132
6127,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01UNRPG31R,D03T7F1QG57,1690984636.833069,132
6128,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03GGQ7KGRH,D03TJH1C4HW,1690984636.868779,132
4240,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03K7CRVCEM,D03TJH1CHPS,1684168906.662589,98
6130,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03K7CRVCEM,D03TJH1CHPS,1690984636.972349,132
3999,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03H6HYUN00,D03TJH1CBJL,1681781107.630669,94
4001,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01LYCVDWF3,D03SX9FLU12,1681781107.684969,94
4002,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03K7CRVCEM,D03TJH1CHPS,1681781107.751439,94
6133,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03FYDDFPFV,D03SN7SC7AA,1690984637.151869,132
4243,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01LJTR8EBC,D03SURTMPUJ,1684168906.793499,98
6135,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05780K2UMN,D057RLRE4P7,1690984637.149529,132
4007,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03GGQ7KGRH,D03TJH1C4HW,1681781108.007349,94
4008,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01UNRPG31R,D03T7F1QG57,1681781108.010549,94
4244,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03H6HYUN00,D03TJH1CBJL,1684168906.802529,98
4010,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01LJTR8EBC,D03SURTMPUJ,1681781108.124069,94
4246,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U05780K2UMN,D057RLRE4P7,1684168906.938549,98
4012,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03GVDXF7U1,D03SE8U159V,1681781108.206109,94
6140,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05ALA9V5PD,D05BHKWHJ8K,1690984637.496059,132
4013,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03HGEN0E3S,D03SE8U1E79,1681781108.265629,94
4014,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U02RMDLFZDH,D03TJH1BQ80,1681781108.293909,94
4249,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01UNRPG31R,D03T7F1QG57,1684168907.065889,98
4250,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01LYCVDWF3,D03SX9FLU12,1684168907.130299,98
6141,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01LYCVDWF3,D03SX9FLU12,1690984637.495529,132
4251,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U056Y9F1Q93,D057RLRELJH,1684168907.207859,98
6142,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03ALC2DFLJ,D03SE8U0STZ,1690984637.626809,132
4254,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U0496DYQU48,D049R405GRK,1684168907.365759,98
4017,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03AWH4SEUE,D03T7F1QVCZ,1681781108.418389,94
6146,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03H6HYUN00,D03TJH1CBJL,1690984637.789659,132
4018,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SMF7VDB5,D03T7F1PN81,1681781108.460399,94
4019,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01UNRPFUTV,D03TJH1BGFJ,1681781108.513739,94
4020,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01UKH79NMT,D03SN7SBHGE,1681781108.576529,94
4022,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SJ6NKWDB,D03SE8TUSMD,1681781108.682989,94
4023,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SZT32DRP,D03SE8TV2P9,1681781108.722309,94
4024,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U043H63UHMK,D044V6B454Y,1681781108.820819,94
6148,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05DC12FZQD,D05FQ1J7DQS,1690984637.916629,132
6149,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05G05YFG3G,D05LB6PGC49,1690984637.949869,132
4026,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03HGEML2BS,D03SURTPZQA,1681781108.950149,94
6151,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05CE30GYKV,D05G2L1KP9P,1690984638.013909,132
4259,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03GGQ7KGRH,D03TJH1C4HW,1684168907.608459,98
6152,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SZT32XRP,D03SUP13AAX,1690984638.116769,132
6154,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03LJHYF2DT,D03SUP15343,1690984638.172379,132
4028,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03LWEFU48J,D03TJH1CMJ4,1681781109.031829,94
6155,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03GVDXF7U1,D03SE8U159V,1690984638.234819,132
4030,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SZT32XRP,D03SUP13AAX,1681781109.141359,94
6157,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03HGEN0E3S,D03SE8U1E79,1690984638.354289,132
6158,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05GD3E1J5R,D05KRTLS006,1690984638.373629,132
6160,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SZT324NM,D03SE8TV2QP,1690984638.471239,132
6161,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U04KS6BVCQJ,D04N77Z9K4L,1690984638.544989,132
6162,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03HGEML2BS,D03SURTPZQA,1690984638.564149,132
4261,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U04N4L42D99,D04NHCZ8EC9,1684168907.700449,98
6166,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U034D39URDY,D03T7F1QS1F,1690984638.721089,132
4035,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03GGQ7P6E7,D03T7F1R4V7,1681781109.359039,94
4036,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01UKH7AKLM,D03SRT5HEE9,1681781109.458179,94
4037,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03H6HZ2X96,D03SN7SCHB8,1681781109.469769,94
4038,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01TUCWJ60Y,D03SX9FMN5S,1681781109.590839,94
6168,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SMF7VDB5,D03T7F1PN81,1690984638.857099,132
4040,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U020KPELER3,D03SUP140LT,1681781109.536979,94
4041,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SZT33HJM,D03S8JZQTFZ,1681781109.719799,94
4042,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03RWMNBX5E,D03SX9FP2JY,1681781109.739519,94
4043,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01UNRPFJMR,D03SURTNY2W,1681781109.741979,94
6169,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03AWH4SEUE,D03T7F1QVCZ,1690984638.887469,132
6170,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03H6HYRY0G,D03T7F1RAQ1,1690984638.991549,132
6171,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U043H63UHMK,D044V6B454Y,1690984638.992239,132
4044,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01KYRUSB0U,D03SX9FLH9S,1681781109.845499,94
6172,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U058P17R890,D05948664PR,1690984639.029409,132
4045,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SM91870S,D03TJH1ALC8,1681781109.859299,94
4046,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SZT338G1,D03TJH1AX16,1681781109.867419,94
4047,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01TE4MD5QC,D03SE8U03SB,1681781109.981639,94
4048,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U03SRGCA30U,D03SRKESBQC,1681781109.985499,94
4049,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SM919SEN,D03SN7SARTQ,1681781110.019239,94
6173,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01UNRPFUTV,D03TJH1BGFJ,1690984639.183709,132
4050,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U01SZT342Q1,D03TJH1B1CY,1681781110.088659,94
4051,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U023QL11B2T,D03SUP1421Z,1681781110.158959,94
4052,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U04A0H4BJ6M,D04AHNZQAKA,1681781110.191229,94
4053,"2023-04-18 01:25:10.566813+00","2023-10-14 18:15:00+00",U034C9FQW9Y,D03SURTP9GA,1681781110.229449,94
6174,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U02RMDLFZDH,D03TJH1BQ80,1690984639.209759,132
6175,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U04N4L42D99,D04NHCZ8EC9,1690984639.245069,132
6176,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SJ6NKWDB,D03SE8TUSMD,1690984639.342749,132
6177,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SZT32DRP,D03SE8TV2P9,1690984639.352829,132
6178,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01UKH79NMT,D03SN7SBHGE,1690984639.440839,132
4263,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U02RMDLFZDH,D03TJH1BQ80,1684168907.835819,98
6179,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03H6HZ2X96,D03SN7SCHB8,1690984639.464219,132
4264,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03GVDXF7U1,D03SE8U159V,1684168907.833419,98
4265,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03HGEML2BS,D03SURTPZQA,1684168907.883389,98
6180,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03GGQ7P6E7,D03T7F1R4V7,1690984639.486829,132
6181,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01UNRPFJMR,D03SURTNY2W,1690984639.611989,132
6182,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03LWEFU48J,D03TJH1CMJ4,1690984639.692889,132
4267,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03HGEN0E3S,D03SE8U1E79,1684168907.964319,98
4268,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SZT32XRP,D03SUP13AAX,1684168908.127959,98
4269,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03LJHYF2DT,D03SUP15343,1684168908.130929,98
6183,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01UKH7AKLM,D03SRT5HEE9,1690984639.710609,132
6184,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U020KPELER3,D03SUP140LT,1690984639.763309,132
4272,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U04KS6BVCQJ,D04N77Z9K4L,1684168908.305709,98
4273,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03H6HYRY0G,D03T7F1RAQ1,1684168908.292209,98
6185,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SZT338G1,D03TJH1AX16,1690984639.812079,132
4275,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03AWH4SEUE,D03T7F1QVCZ,1684168908.445499,98
4276,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SMF7VDB5,D03T7F1PN81,1684168908.449659,98
4277,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01UNRPFUTV,D03TJH1BGFJ,1684168908.530299,98
4278,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01UKH79NMT,D03SN7SBHGE,1684168908.576359,98
4279,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SJ6NKWDB,D03SE8TUSMD,1684168908.636349,98
4280,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SZT32DRP,D03SE8TV2P9,1684168908.598999,98
4281,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03LWEFU48J,D03TJH1CMJ4,1684168908.709839,98
4282,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03GGQ7P6E7,D03T7F1R4V7,1684168908.765479,98
4283,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03H6HZ2X96,D03SN7SCHB8,1684168908.789869,98
4284,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01UKH7AKLM,D03SRT5HEE9,1684168908.882309,98
4285,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01UNRPFJMR,D03SURTNY2W,1684168908.920919,98
4286,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U020KPELER3,D03SUP140LT,1684168908.935999,98
4287,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03RWMNBX5E,D03SX9FP2JY,1684168909.014799,98
4288,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SM91870S,D03TJH1ALC8,1684168909.127509,98
4289,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01KYRUSB0U,D03SX9FLH9S,1684168909.068749,98
4290,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SZT338G1,D03TJH1AX16,1684168909.136589,98
4291,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SM919SEN,D03SN7SARTQ,1684168909.261959,98
4292,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SZT342Q1,D03TJH1B1CY,1684168909.265209,98
4293,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U03SRGCA30U,D03SRKESBQC,1684168909.289929,98
4294,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U04A0H4BJ6M,D04AHNZQAKA,1684168909.378969,98
4295,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01TE4MD5QC,D03SE8U03SB,1684168909.435829,98
4296,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U034C9FQW9Y,D03SURTP9GA,1684168909.439809,98
4297,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U023QL11B2T,D03SUP1421Z,1684168909.513069,98
4298,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01SZT33HJM,D03S8JZQTFZ,1684168909.601369,98
6186,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01KYRUSB0U,D03SX9FLH9S,1690984639.875989,132
6187,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03RWMNBX5E,D03SX9FP2JY,1690984639.880979,132
4301,"2023-05-15 16:41:50.076709+00","2023-09-16 18:00:00+00",U01TUCWJ60Y,D03SX9FMN5S,1684168909.724899,98
6188,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SM919SEN,D03SN7SARTQ,1690984639.977159,132
6189,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SM91870S,D03TJH1ALC8,1690984640.153619,132
6190,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U03SRGCA30U,D03SRKESBQC,1690984640.173059,132
6191,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01TE4MD5QC,D03SE8U03SB,1690984640.176539,132
6192,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U034C9FQW9Y,D03SURTP9GA,1690984640.286389,132
6193,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U023QL11B2T,D03SUP1421Z,1690984640.294019,132
6194,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U059M5BKR1Q,D05A483PPHV,1690984640.400799,132
6195,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01SZT342Q1,D03TJH1B1CY,1690984640.338099,132
6196,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U04A0H4BJ6M,D04AHNZQAKA,1690984640.450609,132
6198,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05DE7N4EE4,D05G2L1MEHX,1690984640.587359,132
6199,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U01TUCWJ60Y,D03SX9FMN5S,1690984640.591579,132
6201,"2023-08-02 13:57:21.196732+00","2023-11-04 17:00:00+00",U05FFMX91DH,D05FPTCTMEF,1690984640.718339,132
